Commodity,Edge,Flow,New Capacity,Switched,Changed Capacity
Methane,"('BY', 'LT')",0.0,0.0,1.0,118771.0
Methane,"('EE', 'FI')",0.0,0.0,1.0,22389.582165
Methane,"('RU', 'UA')",0.0,0.0,1.0,1992720.7302135
Methane,"('DK', 'PL')",112059.54366664648,0.0,1.0,117384.0
Methane,"('FR', 'CH')",0.0,0.0,1.0,94542.3
Methane,"('MD', 'UA')",0.0,0.0,1.0,29508.9739527
Methane,"('LT', 'RU')",0.0,0.0,1.0,0.0
Methane,"('SK', 'UA')",10171.079154375708,0.0,1.0,102492.0
Methane,"('NO', 'BE')",27987.08721461517,0.0,1.0,165418.0
Methane,"('LT', 'PL')",21195.258,0.0,1.0,21195.258
Methane,"('RO', 'UA')",0.0,0.0,1.0,44603.0
Methane,"('LV', 'LT')",0.0,0.0,1.0,29930.0
Methane,"('UK', 'NL')",0.0,0.0,1.0,61320.0
Methane,"('EL', 'AL')",9329.250667451111,0.0,1.0,177791.5
Methane,"('PL', 'DK')",0.0,0.0,1.0,33288.0
Methane,"('LV', 'RU')",0.0,0.0,1.0,0.0
Methane,"('CH', 'FR')",0.0,0.0,1.0,36500.0
Methane,"('DZ', 'TN')",375739.51248100726,0.0,1.0,421381.55
Methane,"('SI', 'IT')",0.0,0.0,1.0,9406.05
Methane,"('HR', 'HU')",15121.254415701238,0.0,1.0,18578.5
Methane,"('NL_LNG_imp', 'NL')",0.0,0.0,1.0,122125.0
Methane,"('ES_LNG_imp', 'ES')",162993.22167908086,0.0,1.0,655566.9999999999
Methane,"('TR_LNG_imp', 'TR')",207003.1530507728,0.0,1.0,425972.0
Methane,"('IT_LNG_imp', 'IT')",155831.5,0.0,1.0,155831.5
Methane,"('IE_LNG_imp', 'IE')",25402.0,0.0,1.0,25402.0
Methane,"('BE_LNG_imp', 'BE')",111378.0,0.0,1.0,111378.0
Methane,"('EE_LNG_imp', 'EE')",3613.770355847626,0.0,1.0,24425.0
Methane,"('PL_LNG_imp', 'PL')",60574.0,0.0,1.0,60574.0
Methane,"('LV_LNG_imp', 'LV')",7494.689125,0.0,1.0,14655.0
Methane,"('HR_LNG_imp', 'HR')",25402.0,0.0,1.0,25402.0
Methane,"('EL_LNG_imp', 'EL')",73275.0,0.0,1.0,73275.0
Methane,"('UK_LNG_imp', 'UK')",81491.87295725508,0.0,1.0,510970.9999999999
Methane,"('FI_LNG_imp', 'FI')",11669.45083333333,0.0,1.0,48850.0
Methane,"('PT_LNG_imp', 'PT')",43774.39964126465,0.0,1.0,74252.0
Methane,"('LT_LNG_imp', 'LT')",36490.41771,0.0,1.0,39080.0
Methane,"('FR_LNG_imp', 'FR')",322409.9999999999,0.0,1.0,322409.9999999999
Methane,"('DE_LNG_imp', 'DE')",304823.9999999999,0.0,1.0,304823.9999999999
Methane,"('JS_LNG_imp', 'JS')",1489880.99670054,0.0,1.0,9999999.0
Methane,"('CN_LNG_imp', 'CN')",1036775.1747611965,0.0,1.0,9999999.0
Methane,"('AF_LNG_imp', 'AF')",0.0,0.0,1.0,9999999.0
Methane,"('IN_LNG_imp', 'IN')",303112.4782752534,0.0,1.0,9999999.0
Methane,"('EG_LNG_imp', 'EG')",28762.64096205891,0.0,1.0,9999999.0
Methane,"('AS_LNG_imp', 'AS')",488874.32838911796,0.0,1.0,9999999.0
Methane,"('SA_LNG_imp', 'SA')",99377.29394723289,0.0,1.0,9999999.0
Methane,"('TT', 'TT_LNG_exp')",102483.89287974089,0.0,1.0,9999999.0
Methane,"('QA', 'QA_LNG_exp')",1318825.760940601,0.0,1.0,9999999.0
Methane,"('USA', 'USA_LNG_exp')",1339214.3401001822,0.0,1.0,9999999.0
Methane,"('ME', 'ME_LNG_exp')",0.0,0.0,1.0,9999999.0
Methane,"('AF', 'AF_LNG_exp')",292335.82209085295,0.0,1.0,9999999.0
Methane,"('AU', 'AU_LNG_exp')",737432.8016467615,0.0,1.0,9999999.0
Methane,"('RU', 'RU_LNG_exp')",764279.938706647,0.0,1.0,9999999.0
Methane,"('IM', 'IM_LNG_exp')",525837.8320231684,0.0,1.0,9999999.0
Methane,"('EG', 'EG_LNG_exp')",0.0,0.0,1.0,9999999.0
Methane,"('QA', 'ME')",17468.613377422094,0.0,1.0,323387.0
Methane,"('ME', 'AF')",0.0,0.0,1.0,97700.0
Methane,"('CR', 'CN')",305882.0681302092,0.0,1.0,351719.9999999999
Methane,"('AS', 'CN')",0.0,0.0,1.0,127010.0
Methane,"('CR', 'TR')",293099.9999999999,0.0,1.0,293099.9999999999
Methane,"('RU', 'CN')",371260.0,0.0,1.0,371260.0
Methane,"('RU', 'CR')",0.0,0.0,1.0,793324.0
Methane,"('CM', 'USA')",0.0,0.0,1.0,4885000.0
Methane,"('ME', 'QA')",0.0,0.0,1.0,323387.0
Methane,"('ME', 'CR')",0.0,0.0,1.0,78160.0
Methane,"('USA', 'CM')",0.0,0.0,1.0,4885000.0
Methane,"('AF_LNG_exp', 'IT_LNG_imp')",155831.5,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'UK_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'SA_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'CN_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'BE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'PL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'IE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'ES_LNG_imp')",37827.32209085295,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'FR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'CN_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'AF_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'IE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'IN_LNG_imp')",0.0,0.0,1.0,9999999.0
